x,y,z
-2.5030725,1.4191015,1.0281571
4.5283756,-1.8923978,-0.4298621
-0.78881025,-1.8069239,3.932975
-1.542944,1.7462797,3.3049157
-2.5879529,-0.95105726,-0.48340875
0.25461876,-0.16836472,11.260328
0.7861726,-0.745584,0.7918751
0.6570044,0.597649,4.4459043
0.7588257,-2.1158695,-3.350114
-2.023054,0.19440852,-0.64508027
1.7581657,-0.9740348,1.388318
-3.6027992,0.5316779,0.06980538
-2.3900006,2.262247,3.1471655
-0.8635824,4.1608906,2.485418
-2.707867,-1.4353496,2.0981688
-2.4702477,-0.0093117645,-3.6894019
4.4677978,1.0086218,-0.10439732
0.9316554,-1.4364706,-2.8250415
-2.84985,-0.31219897,-2.1770468
1.5126216,-0.7117316,1.21513
0.4481234,-1.5916256,-2.2327013
-0.26576725,3.5361547,2.1888187
-0.69370776,-2.589565,0.9361476
2.909858,-0.561465,-0.1691635
3.3698363,0.2453618,-0.49740934
0.49136037,2.4240685,-1.1477797
0.5687225,5.1176643,-7.044439
3.377881,-1.4295007,-0.8235031
2.4729214,0.7683392,1.5574504
-0.7553217,0.5075298,8.898346
-3.5977435,0.67945933,0.41823193
0.8658238,-2.2184227,-3.356183
-1.8696927,3.9024096,3.8513784
3.424504,-0.05631677,1.1132249
1.5134367,-3.1867316,-0.14649189
-0.1351538,-0.18540663,11.557131
2.4344287,0.044400953,1.5105349
0.70062363,-1.3895565,-3.0290506
0.03726325,2.345325,0.9543358
6.1108437,5.488301,-1.002167
1.077283,-2.0063004,-3.1026192
0.443717,-1.9183235,-2.935464
-1.764894,-0.3405336,-4.125187
0.3629812,-2.5512447,1.1030315
4.4788313,5.6735473,-5.878783
-0.7664528,-2.2237246,1.5559293
-3.5280132,0.3733638,0.38449615
-2.4574642,0.052771535,-3.7272623
0.5904159,-1.994702,-3.4540446
-0.010720546,-2.0789754,-1.2596359
2.367351,-1.9094961,1.5052983
-3.529707,0.5399526,0.11277043
5.4530716,-0.69933987,3.2139487
0.92944044,0.15763235,0.85252875
1.0526412,-0.3460599,-0.20434391
-1.3993458,-2.7936115,2.9555242
4.7207375,1.2251488,5.577237
2.029384,-0.9963441,0.7152572
0.49773133,5.193789,-7.0932813
-0.5318071,0.27718723,2.633765
4.8679442,1.3304063,5.6085973
0.40639514,12.057461,1.1934612
3.73698,-0.24521819,0.74775106
0.18827453,1.2723641,1.8624271
1.515621,1.6234363,1.8565785
-0.6869235,-1.0348389,-2.9211888
0.18583958,-1.8974651,3.032674
0.24141394,4.106893,2.6773162
-0.37585995,4.274829,2.612921
-2.536363,0.33867282,-2.7823226
1.4469312,0.25615123,2.2317264
-0.928115,-2.5424974,1.7646239
-2.8863192,1.043354,2.3570259
-0.7694045,-2.6394792,0.7126381
3.5332983,0.80563694,1.7684963
3.4402177,-0.4536874,-0.4819592
-0.43214795,-2.0060523,-1.3913689
-0.8319341,1.4859668,3.0155406
0.95256096,1.9643079,-1.1886132
0.25322387,4.63124,0.6628813
0.60682774,-2.4595408,2.249823
-2.7905998,1.5050261,3.4856708
0.51641715,2.0392606,-0.7634197
0.12265394,-2.937377,0.576113
2.648107,-0.38817254,0.5878123
-1.1056265,-1.6738691,2.2257946
-0.7183308,-2.1030927,4.0340014
0.06205877,2.2443209,0.6938092
4.43053,5.8905897,-5.6736326
-1.1390997,-3.768538,0.8501053
-1.301116,-3.8546813,0.9911231
-0.8604318,-1.6741986,-2.3942254
-1.3267727,-3.7336013,1.038428
-1.2071592,-1.1396018,3.583154
-0.07984901,0.8038509,-0.2510474
-0.72720474,-0.2902464,-2.7402585
5.054031,1.6355041,0.85209495
-3.125783,1.0308931,1.7530333
0.91570073,-1.4483839,-2.7134976
0.5118719,2.9015775,-0.036590368
-3.0710642,-0.029548932,-2.0695782
2.9661496,-1.0252844,1.3763827
2.4273984,-1.4128672,-0.06864079
2.7233233,1.0692719,1.5392574
0.04740525,0.90167093,0.5746884
-0.2536922,-2.2267342,-0.85721457
-1.0684472,-2.6492288,-0.72030824
4.456312,-1.8180368,-0.14776215
-3.0517464,2.4357255,-9.37361
2.3417237,-1.1248567,3.995222
-1.5353091,1.001937,2.129442
4.157522,5.4437294,-6.254399
